perfume_id,item_name,brand,theme,note,perfumer,gender,tags,url
593863,"普罗旺扎诺香氛 Christian Provenzano Parfums Ambre d'Or, 2018",普罗旺扎诺香氛,东方调,"青柠,红色水果,乳香脂,玫瑰,香草,琥珀,零陵香豆,麝香,广藿香",Christian Provenzano,,"香草,东方,柑橘,甜",https://www.nosetime.com/593863-
165174,"新的黎明 卡拉斯拉雅莫斯科 Novaya Zarya Red Moscow Krasnaya Moskva, 1925",新的黎明,花香东方调,"芫荽,橙花,香柠檬,康乃馨,依兰,茉莉,玫瑰,鸢尾花,香草,零陵香豆",Auguste Michel,,"花香,芳香植物,温暖辛辣,白花",https://www.nosetime.com/165174-
507976,"Neo Cologne Dark Matcha, 2021",Neo Cologne,芳香调,"茶叶,香柠檬,小豆蔻,无花果,抹茶",Alexandra Carlin,,"水果,柑橘,甜,芳香植物",https://www.nosetime.com/507976-
607923,"Koesio  Koesio GLORIUS, 2023",Koesio,馥奇调,"葡萄柚,香柠檬,柠檬,榄香脂,天竺葵,零陵香豆,广藿香,橡木苔,榄香脂,天竺葵,零陵香豆,广藿香,橡木苔,零陵香豆,广藿香,橡木苔",,,"柑橘,芳香植物,清新辛辣,泥土",https://www.nosetime.com/607923-
715685,"My Daughter Fragrances Mandarin and Frankincense, 2018",My Daughter Fragrances,绿叶芳香调,"橘子,粉红胡椒,乳香,香草,广藿香",Janey Ganson,,"东方,香草,柑橘,广藿香",https://www.nosetime.com/715685-
225695,"Aurora Borealis Полярная ночь — Polar Night, 2022",Aurora Borealis,花香东方调,"蜂蜜,肉桂,橘子,玫瑰,晚香玉,广藿香,秘鲁香脂,烟草,橡木苔",,,"树脂,蜂蜜,东方,甜",https://www.nosetime.com/225695-
152657,"邵坦尼·萨芭 香料之路之旅 La Sultane de Saba Voyage sur la route des Épices, 2013",邵坦尼·萨芭,东方调,"樟脑,香柠檬,广藿香,檀香木,玫瑰,铃兰,香草,安息香脂,零陵香豆",,,"香草,温暖辛辣,东方,木质",https://www.nosetime.com/152657-
167519,"伟大的美国香味 Great American Scents Orchard Blossom, 2013",伟大的美国香味,果香花香调,"杏,苹果,果香,苹果花,提亚蕾花,牡丹,木质香,鸢尾根,麝香",,,"水果,花香,清新,脂粉",https://www.nosetime.com/167519-
388275,"欧珑 海风青柠（太平洋青柠） Atelier Cologne Pacific Lime, 2018",欧珑,柑橘调,"青柠,柠檬,椰子,薄荷,尤加利",Jerome Epinette,,"柑橘,芳香植物,绿叶,椰子",https://www.nosetime.com/388275-
246211,"迪奥 白毒（芭伊颂冰火） Dior Pure Poison, 2004",迪奥,花香调,"茉莉,橙子,香柠檬,橘子,栀子花,橙花,檀香木,琥珀,雪松,麝香",Carlos Benaim,,"白花,柑橘,木质",https://www.nosetime.com/246211-
588686,"安德莉·普特曼 一点爱 Andree Putman Un Peu d'Amour, 2015",安德莉·普特曼,花香东方调,"香柠檬,橙子,铃兰,木兰,茉莉,檀香木,香草",,,"柑橘,白花,花香,清新辛辣",https://www.nosetime.com/588686-
787644,"德尔朗格之水 Acqua Delle Langhe Sarmassa, 2012",德尔朗格之水,美食东方调,"雪松,橙子,柠檬,香草,辛香料,麝香,蜂蜜,琥珀,树脂,麝香",,,"柑橘,木质,东方,香草",https://www.nosetime.com/787644-
628333,"乐途 万有引力男士 Lotto Gravity Power for Men, 2008",乐途,芳香木质调,"葡萄柚,榄香脂,橙子,胡椒,薰衣草,天竺葵,雪松,香根草,广藿香,安息香脂",,,"木质,芳香植物,清新辛辣,柑橘",https://www.nosetime.com/628333-
520756,"邓洛普 Dunlop White Edition, 2020",邓洛普,芳香木质调,"黑加仑,香柠檬,柠檬,雪松,薰衣草,天竺葵,琥珀,麝香,檀香木",,,"木质,芳香植物,柑橘,清新辛辣",https://www.nosetime.com/520756-
911220,"奥瑞科 Onyrico Itineris, 2016",奥瑞科,花香东方调,"橘子,粉红胡椒,艾蒿,桂花,牡丹,茉莉,玫瑰,天芥菜,琥珀木,檀香木,麝香,香草",Maurizio Cerizza,,"花香,玫瑰,清新,木质",https://www.nosetime.com/911220-
813485,阿尔德·奥·萨法安 穆苏夫 Ard Al Zaafaran Mousuf,阿尔德·奥·萨法安,,"葡萄,黑巧克力,麝香,沉香(乌木),烟草,太妃糖,花香,麝香,沉香(乌木),烟草,太妃糖,花香,烟草,太妃糖,花香",,,"甜,水果,烟草,麝香",https://www.nosetime.com/813485-
860847,"法拉利 高贵无花果 Ferrari Noble Fig, 2015",法拉利,绿叶芳香调,"无花果叶,橘子,粉红胡椒,快乐鼠尾草,鸢尾花,麝香,广藿香",Philippe Paparella-Paris,,"绿叶,清新,柔软辛辣,芳香植物",https://www.nosetime.com/860847-
485339,"罗曼尼 Lomani Cruiser for Women, 1998",罗曼尼,花香调,"橘子,树莓,桃子,香柠檬,粉红胡椒,柠檬,晚香玉,橙花,玫瑰,檀香木,琥珀,麝香,安息香脂,香草,雪松,鹿舌草",,,"柑橘,甜,水果,树脂",https://www.nosetime.com/485339-
697930,"卓雅 毒液 Joya Venom, 2009",卓雅,花香调,"橙花,忍冬,茉莉,铃兰,蜂蜜,广藿香,香根草,琥珀",Rayda Vega,,"白花,木质,广藿香,蜂蜜",https://www.nosetime.com/697930-
274675,"美如致雅 游艇男士蓝色版 Myrurgia Yacht Man Blue, 2001",美如致雅,馥奇调,"香瓜,柠檬,香柠檬,苹果,茉莉,绿叶,小苍兰,康乃馨,皮革,杏仁,檀香木,雪松",,,"柑橘,花香,木质,水果",https://www.nosetime.com/274675-
639037,"宝缇嘉香氛 Bottega Profumiera Galantuomo, 2013",宝缇嘉香氛,辛辣木质调,"鼠尾草,生姜,蜜橘,香草,肉豆蔻,肉桂,茴芹,香根草,乳香,甘草,橡木苔",Maurizio Lembo,,"柔软辛辣,芳香植物,温暖辛辣,草本",https://www.nosetime.com/639037-
990588,"芝恩高堤耶 清新之水 Jean Couturier Eau Fraiche, 1974",芝恩高堤耶,西普调,,,,,https://www.nosetime.com/990588-
556996,生态海 Biosea Cosmopolis,生态海,芳香调,"臭氧,琥珀,木质香,果香,辛香料",Francois Rossini-Paquet,,"东方,空气,木质",https://www.nosetime.com/556996-
204577,"粉红舍 Pink Room Parfum No 1, 2000",粉红舍,果香花香调,"柠檬,果香,香柠檬,玫瑰,铃兰,茉莉,紫罗兰,橡木苔,麝香,香草",Guy Robert,,"白花,柑橘,玫瑰,脂粉",https://www.nosetime.com/204577-
863292,"葛柏 Guepard Espiegle, 2003",葛柏,木质花香调,"依兰,橘子,香柠檬,醛,辛香料,玫瑰,广藿香,晚香玉,依兰,橙花,橙花油,檀香木,雪松,茉莉,香草,麝香,木质香,鸡蛋花,零陵香豆,脂粉味",,,"木质,白花,脂粉,柑橘",https://www.nosetime.com/863292-
731335,"Isaev Company  Isaev Company The Eagle Homme Sport, 2019",Isaev Company,柑橘调,"葡萄柚,柠檬,小豆蔻,香根草,水,沉香(乌木),广藿香,薰衣草,橡木苔,琥珀,麝香,香根草,水,沉香(乌木),广藿香,薰衣草,橡木苔,琥珀,麝香,橡木苔,琥珀,麝香",,,"泥土,柑橘,木质,芳香植物",https://www.nosetime.com/731335-
294071,"Moudon  Moudon Enigma, 2024",Moudon,,"龙舌兰,橙花,晚香玉,小豆蔻,鸢尾花,檀香木,雪松,麝香,晚香玉,小豆蔻,鸢尾花,檀香木,雪松,麝香,檀香木,雪松,麝香",,,"白花,晚香玉,木质,绿叶",https://www.nosetime.com/294071-
895542,"伊娜•德拉弗拉桑热 Ines de la Fressange Indigo Kimono, 2019",伊娜•德拉弗拉桑热,,"樱花,橙花,山楂,麝香,檀香木",,,"花香,白花,清新,甜",https://www.nosetime.com/895542-
921229,"亚历山大·J 紫罗兰鸢尾 Alexandre.J Iris Violet, 2015",亚历山大·J,木质花香调,"果香,苹果,香柠檬,鸢尾花,玫瑰,茉莉,开司米酮,麝香,安息香脂,香草,雪松,乳香,广藿香",,,"水果,脂粉,木质,麝香",https://www.nosetime.com/921229-
688796,"普罗旺扎诺香氛 Christian Provenzano Parfums Esprit de Oud, 2021",普罗旺扎诺香氛,辛辣东方调,"橘子,生姜,肉豆蔻,香柠檬,肉桂,玫瑰,茉莉,烟雾,莎草,沉香(乌木),檀香木,广藿香,劳丹脂,琥珀,麝香",,,"木质,柑橘,清新辛辣,沉香",https://www.nosetime.com/688796-
254739,"努安西 Nuancielo Essences 23, 2017",努安西,辛辣木质调,"葡萄柚,薄荷,蜜橘,肉桂,玫瑰,辛香料,皮革,木质香,琥珀,广藿香",,,"温暖辛辣,肉桂,柑橘,木质",https://www.nosetime.com/254739-
123651,Oakcha  Oakcha Zen Escape,Oakcha,,"梨,降龙涎香醚,黄葵内酯,麝香,降龙涎香醚,黄葵内酯,麝香,黄葵内酯,麝香",,,"麝香,东方,水果,甜",https://www.nosetime.com/123651-
249808,"Mirads Parfums 彭德拉贡之心 Mirads Parfums Pendragon's Heart, 2022",Mirads Parfums,辛辣木质调,"藏红花,橙子,烟草,茉莉,薰衣草,莎草,没药,琥珀,香草,木质香",,,"温暖辛辣,东方,木质,柑橘",https://www.nosetime.com/249808-
200164,"费雷罗选集 挚爱的他 Anthologie by Lucien Ferrero Maitre Parfumeur Par Amour Pour Lui, 2019",费雷罗选集,芳香木质调,"芫荽,龙蒿,岩蔷薇,香柠檬,薰衣草,皮革,干草,烟草,安息香,广藿香,康乃馨叶,劳丹脂,零陵香豆,香草,檀香木,麝香",Lucien Ferrero,,"芳香植物,东方,木质,皮革",https://www.nosetime.com/200164-
